intent,snippet
calculate ratio of sparsity in a numpy array `a`,np.isnan(a).sum() / np.prod(a.shape)
how to generate all permutations of a list in python,"itertools.permutations([1, 2, 3])"
declare an array `variable`,variable = []
"iterate through each value of list in order, starting at random value","[numbers[i % len(numbers)] for i in range(start, start + len(numbers))]"
how to create a number of empty nested lists in python,[[]] * 10
round number 8.005 up to 2 decimal places,"round(8.005, 2)"
"is it possible to take an ordered ""slice"" of a dictionary in python based on a list of keys?","dict(zip(my_list, map(my_dictionary.get, my_list)))"
convert a string to integer with decimal in python,round(float('23.45678'))
how to normalize by another row in a pandas dataframe?,"df.loc[ii, cols]"
python : how to append new elements in a list of list?,"[1, 2, 3, 4]"
sort a list of objects `s` by a member variable 'resulttype',s.sort(key=operator.attrgetter('resultType'))
select rows from a dataframe based on values in a column in pandas,df.loc[df['column_name'] != some_value]
sum of squares in a list in one line?,sum(i * i for i in l)
how to merge the elements in a list sequentially in python,"[''.join(seq) for seq in zip(lst, lst[1:])]"
find ordered vector in numpy array,"(e == np.array([1, 2])).all(-1).shape"
what is the best way to sort list with custom sorting parameters in python?,"sorted(li1, key=k)"
extract duplicate values from a dictionary,"r = dict((v, k) for k, v in d.items())"
pandas: best way to select all columns starting with x,"df.loc[(df == 1).any(axis=1), df.columns.map(lambda x: x.startswith('foo'))]"
faster way to rank rows in subgroups in pandas dataframe,df.groupby('group')['value'].rank(ascending=False)
list manipulation in python with pop(),"interestingelts = (x for x in oldlist if x not in ['a', 'c'])"
"select multiple ranges of columns 1-10, 15, 17, and 50-100 in pandas dataframe `df`","df.iloc[:, (np.r_[1:10, (15), (17), 50:100])]"
image foveation in python,cv2.destroyAllWindows()
python: list all the file names in a directory and its subdirectories and then print the results in a txt file,"a = open('output.txt', 'a')"
max prime palindrome in python,max(n for n in range(1000) if str(n) == str(n)[::-1] and is_prime(n))
is it possible to use 'else' in a python list comprehension?,"[(a if a else 2) for a in [0, 1, 0, 3]]"
check if list `a` is empty,"if (not a):
    pass"
extract all keys from a list of dictionaries `lod`,[i for s in [list(d.keys()) for d in LoD] for i in s]
python pandas - date column to column index,df.set_index('month')
python pandas: keep selected column as dataframe instead of series,"df.iloc[:, ([0])]"
remove object from a list of objects in python,my_list.pop(2)
sorting a list in python using the result from sorting another list,"sorted(zip(a, b))"
sort each row in a pandas dataframe `df` in descending order,"df.sort(axis=1, ascending=False)"
read lines containing integers from a file in python?,line.strip().split(' ')
"""typeerror: string indices must be integers"" when trying to make 2d array in python","[Boardsize, Boardsize]"
get last element of string splitted by '\\' from list of strings `list_dirs`,[l.split('\\')[-1] for l in list_dirs]
pandas dataframe to list of dictionaries,df.to_dict('records')
intersect two lists of words in python,"['watermelon', 'peach']"
python: transform a list of lists of tuples,"map(list, zip(*main_list))"
best way to count the number of rows with missing values in a pandas dataframe,"df.apply(lambda x: sum(x.isnull().values), axis=1)"
google app engine json post request body,self.response.out.write(self.request.body)
python list comprehension with multiple 'if's,[j for i in range(100) if i > 10 for j in range(i) if j < 20]
python list filtering: remove subsets from list of lists,"[[1, 2, 4, 8], [2, 3, 21], [1, 2, 3, 4, 5, 6, 7]]"
get a list of the row names from index of a pandas data frame,list(df.index)
python: get int value from a char string,"int('0xAEAE', 16)"
python: remove dictionary from list,thelist[:] = [d for d in thelist if d.get('id') != 2]
summing across rows of pandas dataframe,"df.groupby(['stock', 'same1', 'same2'])['positions'].sum().reset_index()"
replace an item in a list based on user input,"all(x.isalpha() for x in ['ab1', 'def'])"
pandas: select the first couple of rows in each group,"df.groupby('id', as_index=False).head(2)"
python nested list comprehension with two lists,[(x + y) for x in l2 for y in l1]
remove the first n items that match a condition in a python list,"[10, 9, 8, 4, 7]"
get unique values in list of lists in python,print(list(set(chain(*array))))
removing duplicates from nested list based on first 2 elements,"list(dict(((x[0], x[1]), x) for x in L).values())"
what does a for loop within a list do in python?,myList = [i for i in range(10) if i % 2 == 0]
multiply array `a` and array `b`respective elements then sum each row of the new array,"np.einsum('ji,i->j', a, b)"
create a list of integers between 2 values `11` and `17`,"list(range(11, 17))"
some built-in to pad a list in python,a += [''] * (N - len(a))
convert strings in list-of-lists `lst` to ints,[[int(x) for x in sublist] for sublist in lst]
convert column of date objects 'dateobj' in pandas dataframe `df` to strings in new column 'datestr',df['DateStr'] = df['DateObj'].dt.strftime('%d%m%Y')
python split string,"s.split(':', 1)[1]"
python: sort an array of dictionaries with custom comparator?,"key = lambda d: d.get('rank', float('inf'))"
split a list of tuples into sub-lists of the same tuple field,"[list(group) for key, group in itertools.groupby(data, operator.itemgetter(1))]"
subset of dictionary keys,{key: data[key] for key in data if not_seen(key.split(':')[0])}
pandas unique values multiple columns,"np.unique(df[['Col1', 'Col2']])"
pythonic method of determining if a list's contents change from odd to even values,"(0, 1) not in ((x % 2, y % 2) for x, y in zip(values, values[1:]))"
"python, remove all occurrences of string in list","set(['cheese', 'tomato'])"
removing duplicates in each row of a numpy array,numpy.array([v for v in vals if len(numpy.unique(v)) == len(v)])
"get a list of values for key ""key"" from a list of dictionaries in `l`",[d['key'] for d in l]
pandas - get most recent value of a particular column indexed by another column (get maximum value of a particular column indexed by another column),df.groupby('obj_id').agg(lambda df: df.values[df['data_date'].values.argmax()])
initialize a list `a` with `10000` items and each item's value `0`,a = [0] * 10000
filter columns of only zeros from a pandas data frame,df.apply(lambda x: np.all(x == 0))
check whether elements in list `a` appear only once,len(set(a)) == len(a)
how to compare two lists in python,"all(i < j for i, j in zip(a, b))"
how to combine single and multiindex pandas dataframes,"pd.concat([df2, df1], axis=1)"
how to get first element in a list of tuples?,"[1, 2]"
numpy array multiplication with arrays of arbitrary dimensions,"np.allclose(C0, C3)"
how to get the size of a string in python?,len(s)
parameters to numpy's fromfunction,"array([[0.0, 0.0], [1.0, 1.0]]), array([[0.0, 1.0], [0.0, 1.0]])"
how to print backslash with python?,print('\\')
why do i need lambda to apply functions to a pandas dataframe?,df['SR'] = df['Info'].apply(foo)
python sort parallel arrays in place?,"perm = sorted(range(len(foo)), key=lambda x: foo[x])"
how to gracefully fallback to `nan` value while reading integers from a csv with pandas?,"df = pd.read_csv('my.csv', na_values=['n/a'])"
python: pandas dataframe how to multiply entire column with a scalar,"df.loc[:, ('quantity')] *= -1"
how to get the length of words in a sentence?,[len(x) for x in s.split()]
is there a numpy function to return the first index of something in an array?,array[itemindex[0][0]][itemindex[1][0]]
remove the last element in list `a`,del a[(-1)]
the pythonic way to grow a list of lists,uniques = collections.defaultdict(set)
sum each value in a list `l` of tuples,"map(sum, zip(*l))"
finding the index of a numpy array in a list,"next((i for i, val in enumerate(lst) if np.all(val == array)), -1)"
how to repeat pandas data frame?,"pd.concat([x] * 5, ignore_index=True)"
2d array of objects in python,nodes = [[Node() for j in range(cols)] for i in range(rows)]
how to get a list which is a value of a dictionary by a value from the list?,"reverse_d = {value: key for key, values in list(d.items()) for value in values}"
pandas: slice a multiindex by range of secondary index,"s.loc[slice('a', 'b'), slice(2, 10)]"
creating list from file in python,your_list = [int(i) for i in f.read().split()]
combining two sorted lists in python,sorted(l1 + l2)
comparing multiple dictionaries in python,return dict([k_v for k_v in list(d1.items()) if k_v[0] in d2 and d2[k_v[0]] == k_v[1]])
python sorting - a list of objects,somelist.sort(key=lambda x: x.resultType)
unpack the arguments out of list `params` to function `some_func`,some_func(*params)
static properties in python,MyClass.__dict__
accessing the default argument values in python,test.__defaults__
drop a single subcolumn 'a' in column 'col1' from a dataframe `df`,"df.drop(('col1', 'a'), axis=1)"
grouping dataframes in pandas?,"df.groupby(['A', 'B'])['C'].unique()"
how to select columns from groupby object in pandas?,"df.groupby(['a', 'name']).median().index.get_level_values('name')"
inserting values into specific locations in a list in python,"[(mylist[i:] + [newelement] + mylist[:i]) for i in range(len(mylist), -1, -1)]"
pandas cumulative sum of partial elements with groupby,df['*PtsPerOrder*'] = df.groupby('OrderNum')['PtsPerLot'].transform(sum)
python decimals format,"print('{0} --> {1}'.format(num, result))"
flattening a list of numpy arrays?,np.concatenate(input_list).ravel().tolist()
why i can't convert a list of str to a list of floats?,C1 = [float(i) for i in C if i]
combining multiple 1d arrays returned from a function into a 2d array python,"np.array([a, a, a])"
convert pandas dataframe to a nested dict,df = pd.DataFrame.from_dict(data)
how to use sklearn fit_transform with pandas and return dataframe instead of numpy array?,df.head(3)
reshape dataframe categorical values to rows,"pd.melt(df).groupby(['variable', 'value'])['value'].count().unstack().T"
how can i filter for string values in a mixed datatype object in python pandas dataframe,df['Admission_Source_Code'] = [str(i) for i in df['Admission_Source_Code']]
python pandas: how to move one row to the first row of a dataframe?,"df.reindex([2, 0, 1] + list(range(3, len(df))))"
"in python, how to convert list of float numbers to string with certain format?",str_list = [tuple('{0:.8e}'.format(flt) for flt in sublist) for sublist in lst]
python: accessing an attribute using a variable,"getattr(this_prize, choice)"
convert dataframe to list,df[0].values.tolist()
how to parse dst date in python?,"sorted(d['11163722404385'], key=lambda x: x[-1].date())"
convert list of strings to dictionary,"{' Failures': 0, 'Tests run': 1, ' Errors': 0}"
finding items in one array based upon a second array,A[B == x].sum()
fetch all elements in a dictionary 'parent_dict' where the key is between the range of 2 to 4,"dict((k, v) for k, v in parent_dict.items() if k > 2 and k < 4)"
python - list of unique dictionaries,"list(dict((v['id'], v) for v in L).values())"
turning string with embedded brackets into a dictionary,"{'key3': 'value with spaces', 'key2': 'value2', 'key1': 'value1'}"
apply function with args in pandas,"df['Result'] = df.apply(func, axis=1)"
how to sort a list according to another list?,a.sort(key=lambda x: b.index(x[0]))
